index,bitstring,frequency,objective,is_feasible,assign_0,assign_1,assign_2,assign_3,capacity_0,capacity_1
0,010001100011,0.00325,18.0,False,False,False,True,False,True,True
1,011011101000,0.0022,31.0,False,True,False,False,False,True,True
2,100011100111,0.00196,21.0,False,False,True,True,False,True,True
3,001011001111,0.00186,16.0,False,True,True,True,False,True,True
4,011100011111,0.00185,25.0,False,False,True,True,False,True,True
5,101101011000,0.00179,25.0,False,True,True,True,False,True,True
6,011010100000,0.00176,28.0,False,True,True,False,False,True,True
7,001110001100,0.00167,16.0,False,True,False,True,True,True,True
8,111011000000,0.00167,27.0,False,False,False,True,False,True,True
9,100101100111,0.00163,18.0,True,True,True,True,True,True,True
10,011001101110,0.0016,25.0,False,False,False,False,False,True,True
11,000010010001,0.00158,14.0,False,True,False,False,True,True,True
12,101001011100,0.00153,22.0,True,True,True,True,True,True,True
13,010001010101,0.00153,18.0,False,False,False,False,True,True,True
14,000001101110,0.00152,11.0,False,False,True,True,False,True,True
15,011010011010,0.00152,28.0,True,True,True,True,True,True,True
16,011110101101,0.0015,31.0,False,True,True,False,True,True,True
17,101101010100,0.00149,25.0,False,True,True,True,False,True,True
18,010011100011,0.00148,24.0,False,True,False,True,False,True,True
19,111110011000,0.00145,35.0,False,False,True,True,False,False,True
20,100011100011,0.00142,21.0,False,False,True,True,False,True,True
21,111000011111,0.00141,26.0,True,True,True,True,True,True,True
22,011111101111,0.00141,34.0,False,True,False,False,True,True,True
23,000000101110,0.00138,8.0,False,False,False,True,False,True,True
24,100000001000,0.00136,4.0,False,True,False,False,False,True,True
25,011001100000,0.00134,25.0,False,False,False,False,False,True,True
26,101101010001,0.00134,25.0,False,True,True,True,False,True,True
27,011011101100,0.00134,31.0,False,True,False,False,False,True,True
28,011111100111,0.00133,34.0,False,True,False,False,True,True,True
29,111110101010,0.00132,35.0,False,False,True,False,True,False,True
30,111000011100,0.00131,26.0,True,True,True,True,True,True,True
31,101110101011,0.0013,28.0,False,False,False,False,True,True,True
32,011010100010,0.0013,28.0,False,True,True,False,False,True,True
33,011101101110,0.00128,28.0,False,False,False,False,True,True,True
34,101101101111,0.00127,25.0,False,True,True,False,True,True,True
35,011011100010,0.00126,31.0,False,True,False,False,False,True,True
36,100110100001,0.00126,21.0,False,False,False,True,True,True,True
37,110010011110,0.00126,25.0,False,False,True,False,True,True,True
38,101100110000,0.00125,30.0,False,True,False,False,False,True,True
39,000010100000,0.00124,14.0,False,True,False,True,False,True,True
40,100111100001,0.00124,24.0,False,False,True,True,True,True,True
41,100010010000,0.00123,18.0,False,False,False,False,True,True,True
42,101101101010,0.00122,25.0,False,True,True,False,True,True,True
43,010001011010,0.00122,18.0,False,False,False,False,True,True,True
44,100001101010,0.00121,15.0,False,True,True,True,False,True,True
45,011010010110,0.00121,28.0,True,True,True,True,True,True,True
46,100100011011,0.0012,15.0,False,True,False,False,False,True,True
47,000011110111,0.00119,25.0,False,True,True,True,True,True,False
48,101110101000,0.00118,28.0,False,False,False,False,True,True,True
49,100100011110,0.00118,15.0,False,True,False,False,False,True,True
50,101101011011,0.00118,25.0,False,True,True,True,False,True,True
51,011010010010,0.00118,28.0,True,True,True,True,True,True,True
52,011001000111,0.00118,17.0,False,False,False,True,False,True,True
53,101101111000,0.00117,33.0,False,True,True,False,False,True,True
54,001110101101,0.00117,24.0,False,True,False,False,True,True,True
55,100101100010,0.00117,18.0,True,True,True,True,True,True,True
56,011110101111,0.00116,31.0,False,True,True,False,True,True,True
57,101110100011,0.00116,28.0,False,False,False,False,True,True,True
58,000101110010,0.00115,22.0,False,False,True,True,False,True,True
59,011010110000,0.00115,36.0,False,True,True,False,True,True,True
60,110011101011,0.00115,28.0,False,False,False,True,False,True,True
61,010001101111,0.00115,18.0,False,False,False,True,False,True,True
62,101110011100,0.00114,28.0,False,False,False,True,False,True,True
63,010010101011,0.00114,21.0,False,True,True,True,False,True,True
64,101001011111,0.00112,22.0,True,True,True,True,True,True,True
65,100110110000,0.00112,29.0,False,False,False,True,False,True,True
66,110101100100,0.00111,25.0,False,True,False,True,True,True,True
67,010001101010,0.00111,18.0,False,False,False,True,False,True,True
68,100010011000,0.0011,18.0,False,False,False,False,True,True,True
69,011111110110,0.00109,42.0,False,True,False,False,False,True,False
70,100010100000,0.00109,18.0,False,False,False,True,False,True,True
71,111001010101,0.00109,29.0,False,True,False,True,True,True,True
72,101001010011,0.00109,22.0,True,True,True,True,True,True,True
